,dev,train,uuas,limit,slavic
395,pl,uk,0.7246278243784479,2500,True
396,pl,uk,0.7031663266077232,2500,True
397,pl,uk,0.7055089548855135,2500,True
398,pl,zh,0.5900022670596237,2500,False
399,pl,zh,0.583087735207436,2500,False
400,pl,zh,0.5573188241517418,2500,False
401,pl,zh,0.5810851658731958,2500,False
402,pl,be,0.752361520441321,7500,True
403,pl,be,0.7525504420766266,7500,True
404,pl,be,0.7468450086903953,7500,True
405,pl,be,0.7542129524673166,7500,True
406,pl,cs,0.7776770195722814,7500,True
407,pl,cs,0.7704979974306657,7500,True
408,pl,cs,0.7791128240006046,7500,True
409,pl,cs,0.7737852338849845,7500,True
410,pl,de,0.7560643844933121,7500,False
411,pl,de,0.7545907957379279,7500,False
412,pl,de,0.7488475780246354,7500,False
413,pl,de,0.755724325549762,7500,False
414,pl,en,0.729161943625784,7500,False
415,pl,en,0.7352452202826267,7500,False
416,pl,en,0.7329781606589587,7500,False
417,pl,en,0.7316557092118189,7500,False
418,pl,es,0.7252701579384871,7500,False
419,pl,es,0.7248167460137535,7500,False
420,pl,es,0.7327514546965919,7500,False
421,pl,es,0.7295020025693343,7500,False
422,pl,fi,0.6795511221945137,7500,False
423,pl,fi,0.6853699085619285,7500,False
424,pl,fi,0.6795511221945137,7500,False
425,pl,fi,0.6772084939167233,7500,False
426,pl,fr,0.7442378901231769,7500,False
427,pl,fr,0.7449935766643996,7500,False
428,pl,fr,0.7393259276052293,7500,False
429,pl,fr,0.7456359102244389,7500,False
430,pl,id,0.6756215521801556,4481,False
431,pl,id,0.677132925262601,4481,False
432,pl,id,0.6757726894884002,4481,False
433,pl,id,0.6682536084032343,4481,False
434,pl,lv,0.7210760976347012,7500,False
435,pl,lv,0.7148416836696139,7500,False
436,pl,lv,0.713783722511902,7500,False
437,pl,lv,0.718242273105116,7500,False
438,pl,pl,0.8199954658807527,7500,True
439,pl,pl,0.8208645054031588,7500,True
440,pl,pl,0.8232449180080103,7500,True
441,pl,pl,0.8217335449255648,7500,True
442,pl,ru,0.7826645507443513,7500,True
443,pl,ru,0.7859895715257311,7500,True
444,pl,ru,0.7822867074737399,7500,True
445,pl,ru,0.7855739439280587,7500,True
446,pl,slk,0.7633567596161113,7500,True
447,pl,slk,0.7609763470112597,7500,True
448,pl,slk,0.758520365752286,7500,True
449,pl,slk,0.7637723872137837,7500,True
450,pl,slv,0.7684576437693644,7500,True
451,pl,slv,0.7754477442756744,7500,True
452,pl,slv,0.7745031360991461,7500,True
453,pl,slv,0.7729539786896396,7500,True
454,pl,uk,0.775032116678002,5495,True
455,pl,uk,0.7797173732335827,5495,True
456,pl,uk,0.7752966069674299,5495,True
457,pl,uk,0.777828156880526,5495,True
458,pl,zh,0.6046248016322829,3996,False
459,pl,zh,0.6085165873195798,3996,False
460,pl,zh,0.6008463689261694,3996,False
461,pl,zh,0.6013375651779642,3996,False
